Idx,Ratio,Train,Val,Stuff,Name,Label
1,0.1576,11664,1172,1,wall,1
2,0.1072,6046,612,1,building;edifice,1
3,0.0878,8265,796,1,sky,0
4,0.0621,9336,917,1,floor;flooring,1
5,0.0480,6678,641,0,tree,3
6,0.0450,6604,643,1,ceiling,1
7,0.0398,4023,408,1,road;route,1
8,0.0231,1906,199,0,bed,1
9,0.0198,4688,460,0,windowpane;window,1
10,0.0183,2423,225,1,grass,3
11,0.0181,2874,294,0,cabinet,1
12,0.0166,3068,310,1,sidewalk;pavement,1
13,0.0160,5075,526,0,person;individual;someone;somebody;mortal;soul,2
14,0.0151,1804,190,1,earth;ground,1
15,0.0118,6666,796,0,door;double;door,1
16,0.0110,4269,411,0,table,1
17,0.0109,1691,160,1,mountain;mount,0
18,0.0104,3999,441,0,plant;flora;plant;life,3
19,0.0104,2149,217,0,curtain;drape;drapery;mantle;pall,0
20,0.0103,3261,318,0,chair,1
21,0.0098,3164,306,0,car;auto;automobile;machine;motorcar,2
22,0.0074,709,75,1,water,0
23,0.0067,3296,315,0,painting;picture,1
24,0.0065,1191,106,0,sofa;couch;lounge,1
25,0.0061,1516,162,0,shelf,1
26,0.0060,667,69,1,house,1
27,0.0053,651,57,1,sea,0
28,0.0052,1847,224,0,mirror,0
29,0.0046,1158,128,1,rug;carpet;carpeting,0
30,0.0044,480,44,1,field,0
31,0.0044,1172,98,0,armchair,1
32,0.0044,1292,184,0,seat,1
33,0.0033,1386,138,0,fence;fencing,1
34,0.0031,698,61,0,desk,1
35,0.0030,781,73,0,rock;stone,1
36,0.0027,380,43,0,wardrobe;closet;press,1
37,0.0026,3089,302,0,lamp,1
38,0.0024,404,37,0,bathtub;bathing;tub;bath;tub,0
39,0.0024,804,99,0,railing;rail,1
40,0.0023,1453,153,0,cushion,1
41,0.0023,411,37,0,base;pedestal;stand,1
42,0.0022,1440,162,0,box,1
43,0.0022,800,77,0,column;pillar,1
44,0.0020,2650,298,0,signboard;sign,1
45,0.0019,549,46,0,chest;of;drawers;chest;bureau;dresser,1
46,0.0019,367,36,0,counter,1
47,0.0018,311,30,1,sand,0
48,0.0018,1181,122,0,sink,0
49,0.0018,287,23,1,skyscraper,1
50,0.0018,468,38,0,fireplace;hearth;open;fireplace,1
51,0.0018,402,43,0,refrigerator;icebox,1
52,0.0018,130,12,1,grandstand;covered;stand,1
53,0.0018,561,64,1,path,1
54,0.0017,880,102,0,stairs;steps,1
55,0.0017,86,12,1,runway,1
56,0.0017,172,11,0,case;display;case;showcase;vitrine,1
57,0.0017,198,18,0,pool;table;billiard;table;snooker;table,1
58,0.0017,930,109,0,pillow,1
59,0.0015,139,18,0,screen;door;screen,1
60,0.0015,564,52,1,stairway;staircase,1
61,0.0015,320,26,1,river,0
62,0.0015,261,29,1,bridge;span,1
63,0.0014,275,22,0,bookcase,1
64,0.0014,335,60,0,blind;screen,1
65,0.0014,792,75,0,coffee;table;cocktail;table,1
66,0.0014,395,49,0,toilet;can;commode;crapper;pot;potty;stool;throne,1
67,0.0014,1309,138,0,flower,3
68,0.0013,1112,113,0,book,1
69,0.0013,266,27,1,hill,0
70,0.0013,659,66,0,bench,0
71,0.0012,331,31,0,countertop,1
72,0.0012,531,56,0,stove;kitchen;stove;range;kitchen;range;cooking;stove,1
73,0.0012,369,36,0,palm;palm;tree,0
74,0.0012,144,9,0,kitchen;island,1
75,0.0011,265,29,0,computer;computing;machine;computing;device;data;processor;electronic;computer;information;processing;system,1
76,0.0010,324,33,0,swivel;chair,1
77,0.0009,304,27,0,boat,2
78,0.0009,170,20,0,bar,1
79,0.0009,68,6,0,arcade;machine,1
80,0.0009,65,8,1,hovel;hut;hutch;shack;shanty,1
81,0.0009,248,25,0,bus;autobus;coach;charabanc;double-decker;jitney;motorbus;motorcoach;omnibus;passenger;vehicle,2
82,0.0008,492,49,0,towel,1
83,0.0008,2510,269,0,light;light;source,0
84,0.0008,440,39,0,truck;motortruck,0
85,0.0008,147,18,1,tower,1
86,0.0008,583,56,0,chandelier;pendant;pendent,1
87,0.0007,533,61,0,awning;sunshade;sunblind,1
88,0.0007,1989,239,0,streetlight;street;lamp,1
89,0.0007,71,5,0,booth;cubicle;stall;kiosk,1
90,0.0007,618,53,0,television;television;receiver;television;set;tv;tv;set;idiot;box;boob;tube;telly;goggle;box,1
91,0.0007,135,12,0,airplane;aeroplane;plane,2
92,0.0007,83,5,1,dirt;track,0
93,0.0007,178,17,0,apparel;wearing;apparel;dress;clothes,1
94,0.0006,1003,104,0,pole,1
95,0.0006,182,12,1,land;ground;soil,0
96,0.0006,452,50,0,bannister;banister;balustrade;balusters;handrail,1
97,0.0006,42,6,1,escalator;moving;staircase;moving;stairway,1
98,0.0006,307,31,0,ottoman;pouf;pouffe;puff;hassock,1
99,0.0006,965,114,0,bottle,1
100,0.0006,117,13,0,buffet;counter;sideboard,1
101,0.0006,354,35,0,poster;posting;placard;notice;bill;card,1
102,0.0006,108,9,1,stage,1
103,0.0006,557,55,0,van,2
104,0.0006,52,4,0,ship,2
105,0.0005,99,5,0,fountain,0
106,0.0005,57,4,1,conveyer;belt;conveyor;belt;conveyer;conveyor;transporter,1
107,0.0005,292,31,0,canopy,1
108,0.0005,77,9,0,washer;automatic;washer;washing;machine,1
109,0.0005,340,38,0,plaything;toy,1
110,0.0005,66,3,1,swimming;pool;swimming;bath;natatorium,0
111,0.0005,465,49,0,stool,1
112,0.0005,50,4,0,barrel;cask,1
113,0.0005,622,75,0,basket;handbasket,1
114,0.0005,80,9,1,waterfall;falls,0
115,0.0005,59,3,0,tent;collapsible;shelter,1
116,0.0005,531,72,0,bag,1
117,0.0005,282,30,0,minibike;motorbike,2
118,0.0005,73,7,0,cradle,1
119,0.0005,435,44,0,oven,1
120,0.0005,136,25,0,ball,1
121,0.0005,116,24,0,food;solid;food,2
122,0.0004,266,31,0,step;stair,1
123,0.0004,58,12,0,tank;storage;tank,1
124,0.0004,418,83,0,trade;name;brand;name;brand;marque,1
125,0.0004,319,43,0,microwave;microwave;oven,1
126,0.0004,1193,139,0,pot;flowerpot,1
127,0.0004,97,23,0,animal;animate;being;beast;brute;creature;fauna,2
128,0.0004,347,36,0,bicycle;bike;wheel;cycle,2
129,0.0004,52,5,1,lake,0
130,0.0004,246,22,0,dishwasher;dish;washer;dishwashing;machine,1
131,0.0004,108,13,0,screen;silver;screen;projection;screen,1
132,0.0004,201,30,0,blanket;cover,1
133,0.0004,285,21,0,sculpture,1
134,0.0004,268,27,0,hood;exhaust;hood,2
135,0.0003,1020,108,0,sconce,1
136,0.0003,1282,122,0,vase,1
137,0.0003,528,65,0,traffic;light;traffic;signal;stoplight,1
138,0.0003,453,57,0,tray,1
139,0.0003,671,100,0,ashcan;trash;can;garbage;can;wastebin;ash;bin;ash-bin;ashbin;dustbin;trash;barrel;trash;bin,1
140,0.0003,397,44,0,fan,2
141,0.0003,92,8,1,pier;wharf;wharfage;dock,1
142,0.0003,228,18,0,crt;screen,1
143,0.0003,570,59,0,plate,1
144,0.0003,217,22,0,monitor;monitoring;device,1
145,0.0003,206,19,0,bulletin;board;notice;board,1
146,0.0003,130,14,0,shower,0
147,0.0003,178,28,0,radiator,1
148,0.0002,504,57,0,glass;drinking;glass,1
149,0.0002,775,96,0,clock,1
150,0.0002,421,56,0,flag,1
